astA:1:AF161000	0	0	.	.	Original name was astA:1:AF161000
astA:2:AF161001	0	0	.	.	Original name was astA:2:AF161001
astA:3:AB042005	0	0	.	.	Original name was astA:3:AB042005
astA:4:AB042002	0	0	.	.	Original name was astA:4:AB042002
astA:5:AF160998	0	0	.	.	Original name was astA:5:AF160998
astA:6:AY545598	0	0	.	.	Original name was astA:6:AY545598
astA:7:AF411067	0	0	.	.	Original name was astA:7:AF411067
astA:8:HM099897	0	0	.	.	Original name was astA:8:HM099897
astA:9:AF160995	0	0	.	.	Original name was astA:9:AF160995
astA:10:L11241	0	0	.	.	Original name was astA:10:L11241
astA:11:HM099896	0	0	.	.	Original name was astA:11:HM099896
astA:12:KJ149556	0	0	.	.	Original name was astA:12:KJ149556
bfpA:1:AB247925	0	0	.	.	Original name was bfpA:1:AB247925
bfpA:2:AM114103	0	0	.	.	Original name was bfpA:2:AM114103
bfpA:3:FN391182	0	0	.	.	Original name was bfpA:3:FN391182
bfpA:4:AB247923	0	0	.	.	Original name was bfpA:4:AB247923
bfpA:5:AB024946	0	0	.	.	Original name was bfpA:5:AB024946
cba:1:FJ664727	0	0	.	.	Original name was cba:1:FJ664727
cba:2:FJ664725	0	0	.	.	Original name was cba:2:FJ664725
cba:3:FJ664734	0	0	.	.	Original name was cba:3:FJ664734
cba:4:FJ664722	0	0	.	.	Original name was cba:4:FJ664722
cba:5:FJ664747	0	0	.	.	Original name was cba:5:FJ664747
cba:6:FJ664720	0	0	.	.	Original name was cba:6:FJ664720
cba:7:FJ664719	0	0	.	.	Original name was cba:7:FJ664719
cba:8:FJ664737	0	0	.	.	Original name was cba:8:FJ664737
cba:9:FJ664740	0	0	.	.	Original name was cba:9:FJ664740
cba:10:FJ664744	0	0	.	.	Original name was cba:10:FJ664744
cba:11:FJ664721	0	0	.	.	Original name was cba:11:FJ664721
cba:12:FJ664745	0	0	.	.	Original name was cba:12:FJ664745
cba:13:FJ664738	0	0	.	.	Original name was cba:13:FJ664738
cba:14:FJ664743	0	0	.	.	Original name was cba:14:FJ664743
cba:15:FJ664724	0	0	.	.	Original name was cba:15:FJ664724
ccI:1:AF190857	0	0	.	.	Original name was ccI:1:AF190857
ccI:2:X04466	0	0	.	.	Original name was ccI:2:X04466
ccI:3:JF828150	0	0	.	.	Original name was ccI:3:JF828150
ccI:4:DQ298019	0	0	.	.	Original name was ccI:4:DQ298019
cdtB:1:AJ508930	0	0	.	.	Original name was cdtB:1:AJ508930
cdtB:2:AB472840	0	0	.	.	Original name was cdtB:2:AB472840
cdtB:3:AY365042	0	0	.	.	Original name was cdtB:3:AY365042
cdtB:4:AY365045	0	0	.	.	Original name was cdtB:4:AY365045
cdtB:5:AB472839	0	0	.	.	Original name was cdtB:5:AB472839
cdtB:6:KC618326	0	0	.	.	Original name was cdtB:6:KC618326
cdtB:7:AY365044	0	0	.	.	Original name was cdtB:7:AY365044
cdtB:8:JF297618	0	0	.	.	Original name was cdtB:8:JF297618
cdtB:9:AB583184	0	0	.	.	Original name was cdtB:9:AB583184
cdtB:10:AB583185	0	0	.	.	Original name was cdtB:10:AB583185
cdtB:11:AY696755	0	0	.	.	Original name was cdtB:11:AY696755
cdtB:12:AY696753	0	0	.	.	Original name was cdtB:12:AY696753
cdtB:13:U04208	0	0	.	.	Original name was cdtB:13:U04208
cdtB:14:AB472834	0	0	.	.	Original name was cdtB:14:AB472834
celb:1:X63621	0	0	.	.	Original name was celb:1:X63621
celb:2:M57540	0	0	.	.	Original name was celb:2:M57540
celb:3:M31808	0	0	.	.	Original name was celb:3:M31808
celb:4:CU928147	0	0	.	.	Original name was celb:4:CU928147
celb:5:M30445	0	0	.	.	Original name was celb:5:M30445
celb:6:X15858	0	0	.	.	Original name was celb:6:X15858
celb:7:HF570109	0	0	.	.	Original name was celb:7:HF570109
celb:8:AF540491	0	0	.	.	Original name was celb:8:AF540491
celb:9:X06119	0	0	.	.	Original name was celb:9:X06119
celb:10:D00021	0	0	.	.	Original name was celb:10:D00021
cfaC:1:M55661	0	0	.	.	Original name was cfaC:1:M55661
cfaC:2:FN649418	0	0	.	.	Original name was cfaC:2:FN649418
cfaC:3:AF296132	0	0	.	.	Original name was cfaC:3:AF296132
cfaC:4:AY283611	0	0	.	.	Original name was cfaC:4:AY283611
cif:1:AY128537	0	0	.	.	Original name was cif:1:AY128537
cif:2:AY128535	0	0	.	.	Original name was cif:2:AY128535
cif:3:AF497476	0	0	.	.	Original name was cif:3:AF497476
cif:4:AB426049	0	0	.	.	Original name was cif:4:AB426049
cma:1:FJ664772	0	0	.	.	Original name was cma:1:FJ664772
cma:2:FJ664741	0	0	.	.	Original name was cma:2:FJ664741
cma:3:FJ664746	0	0	.	.	Original name was cma:3:FJ664746
cma:4:FJ664725	0	0	.	.	Original name was cma:4:FJ664725
cma:5:FJ664737	0	0	.	.	Original name was cma:5:FJ664737
